village,date,pH,turbidity,dissolved_oxygen,nitrates,coliform,rainfall,temperature,diarrhea_cases,growth_rate,contamination_score
Karanjgaon,2023-01-13,6.55,1.56,10.0,10.91,47.9,37.0,21.5,7,0.284,15.17
Dhamangaon,2023-01-13,7.22,5.85,6.33,8.04,93.1,4.4,21.0,6,0.383,40.36
Dhamangaon,2023-01-13,7.76,3.25,7.76,9.6,40.0,2.4,22.8,4,0.298,14.29
Laxmipur,2023-01-13,5.61,1.0,9.88,25.8,88.9,18.7,22.0,10,0.452,27.31
Krishnapur,2023-01-14,6.55,1.0,9.0,35.12,93.1,19.3,24.7,10,0.461,25.78
Chandpur,2023-01-14,7.01,1.0,8.47,22.15,94.1,109.0,23.7,10,0.444,28.9
Tarwada,2023-01-14,6.47,4.96,8.29,38.78,138.5,1.8,22.4,10,0.649,53.9
Khandala,2023-01-14,7.1,1.29,8.96,18.14,42.0,5.8,24.2,8,0.474,16.77
Bhavanipur,2023-01-14,6.81,1.0,10.0,10.8,57.1,36.6,23.7,6,0.407,10.31
Chandpur,2023-01-14,8.27,1.0,9.35,40.66,200.0,43.3,25.5,14,0.832,55.06
Wagholi,2023-01-14,5.64,1.0,10.0,11.95,40.6,6.7,24.5,2,0.274,10.68
Balkishan,2023-01-14,7.63,1.05,8.66,14.95,32.1,8.8,21.6,4,0.183,11.17
Tarwada,2023-01-14,8.14,1.0,9.58,22.76,66.9,33.0,22.7,7,0.319,16.48
Bhavanipur,2023-01-15,7.0,1.0,9.59,19.6,77.8,74.4,24.2,7,0.408,19.79
Chandpur,2023-01-15,6.42,6.53,5.95,6.95,90.7,12.9,24.9,12,0.508,42.86
Krishnapur,2023-01-15,6.83,1.0,8.0,9.32,24.6,8.5,22.6,7,0.271,9.41
Khandala,2023-01-15,8.07,4.7,7.1,11.26,67.0,27.4,23.7,5,0.415,32.01
Karanjgaon,2023-01-15,8.33,1.28,9.99,7.83,31.2,1.8,22.9,5,0.177,10.71
Chandpur,2023-01-15,7.2,1.06,10.0,11.8,46.8,33.2,20.5,6,0.26,10.8
Sitapur,2023-01-15,6.69,1.65,9.6,12.52,49.9,8.1,22.2,5,0.249,16.83
Salegaon,2023-01-16,6.04,1.0,8.35,8.78,17.1,4.6,25.0,7,0.246,7.08
Laxmipur,2023-01-16,6.08,4.29,8.2,21.76,108.4,66.7,21.5,11,0.576,41.47
Dhamangaon,2023-01-16,5.98,1.0,9.33,14.24,40.8,1.7,23.7,5,0.267,10.09
Balkishan,2023-01-16,7.9,3.72,7.52,19.36,70.7,11.6,23.7,5,0.292,27.01
Umargaon,2023-01-16,6.18,1.0,9.43,11.36,25.4,11.9,20.0,5,0.18,10.21
Salegaon,2023-01-17,7.47,4.21,9.63,8.37,52.6,6.2,24.8,7,0.308,29.06
Sitapur,2023-01-17,7.13,2.18,10.0,16.97,57.7,26.9,22.3,4,0.247,19.61
Tarwada,2023-01-17,6.73,4.85,6.63,11.63,58.9,0.2,25.2,6,0.415,25.68
Tulsipur,2023-01-17,5.94,1.0,9.77,5.54,27.4,1.3,23.4,2,0.164,11.9
Khandala,2023-01-17,5.89,10.0,5.14,11.67,130.4,38.9,22.9,10,0.594,66.89
Krishnapur,2023-01-17,5.88,2.55,8.46,47.01,128.4,13.0,25.0,10,0.586,46.24
Radhapur,2023-01-18,5.54,4.03,8.09,17.33,90.3,12.2,22.2,12,0.523,37.63
Nandgaon,2023-01-18,6.27,1.0,9.69,9.33,42.4,17.8,22.3,4,0.201,13.33
Dhamangaon,2023-01-19,6.67,7.34,5.67,17.68,109.7,26.8,22.8,11,0.605,50.47
Nandgaon,2023-01-19,8.05,1.0,7.33,10.76,25.0,8.5,25.8,4,0.237,6.99
Gopalnagar,2023-01-19,6.55,1.8,8.84,7.51,34.6,5.8,23.9,3,0.207,11.01
Chandpur,2023-01-19,6.35,10.0,5.35,19.26,136.0,9.5,25.2,10,0.582,66.3
Karanjgaon,2023-01-19,6.74,1.8,9.29,12.61,38.2,5.4,23.3,3,0.184,11.93
Jawahar Nagar,2023-01-19,7.71,3.24,7.24,19.13,97.3,36.9,22.1,8,0.574,31.48
Jawahar Nagar,2023-01-20,7.7,6.65,6.69,18.46,103.9,14.8,24.5,8,0.453,46.18
Nandgaon,2023-01-20,5.85,2.95,8.72,8.35,40.1,0.8,21.1,5,0.208,13.26
Radhapur,2023-01-20,7.18,3.21,7.82,9.61,59.5,12.0,21.4,5,0.277,18.66
Nandgaon,2023-01-20,6.41,1.0,10.0,48.44,112.6,2.8,21.2,9,0.529,38.78
Salegaon,2023-01-20,6.17,5.5,5.99,7.56,60.0,7.0,23.7,5,0.349,30.23
Bhavanipur,2023-01-20,7.58,2.46,7.33,7.23,47.8,9.0,24.5,5,0.288,19.43
Tarwada,2023-01-21,6.96,1.0,9.56,9.73,23.3,17.0,20.4,5,0.146,2.09
Pimpalgaon,2023-01-21,7.02,10.0,4.83,35.27,200.0,2.0,23.1,15,0.896,88.64
Morwada,2023-01-21,7.08,3.46,8.36,23.88,92.9,46.0,23.2,9,0.475,36.31
Shivgarh,2023-01-21,6.54,3.99,8.08,26.55,93.5,9.6,25.4,7,0.536,35.7
Sitapur,2023-01-21,7.44,1.25,10.0,8.26,21.0,18.1,22.2,2,0.161,8.75
Rampur,2023-01-21,6.6,1.45,8.98,10.81,83.5,17.9,21.8,5,0.376,20.76
Wagholi,2023-01-21,7.41,3.9,7.85,9.67,48.5,12.7,23.6,6,0.24,26.89
Krishnapur,2023-01-22,5.72,1.0,9.92,8.42,36.1,21.5,20.0,4,0.253,12.98
Balkishan,2023-01-22,6.72,2.67,8.8,6.97,33.4,6.7,21.3,3,0.194,11.52
Bhavanipur,2023-01-22,5.71,4.51,10.0,11.11,55.9,0.4,25.4,3,0.276,26.98
Balkishan,2023-01-22,7.18,2.72,10.0,12.68,115.1,26.9,22.0,9,0.545,35.59
Jawahar Nagar,2023-01-22,6.91,5.36,7.21,6.53,70.0,5.7,22.5,6,0.323,33.19
Salegaon,2023-01-22,6.86,1.0,9.09,36.52,118.6,83.1,23.0,11,0.576,37.05
Sundarpur,2023-01-23,7.53,1.0,8.37,19.01,56.9,25.2,20.2,6,0.268,12.25
Sundarpur,2023-01-23,7.07,7.5,5.73,14.07,116.3,55.6,20.7,8,0.597,47.81
Bhavanipur,2023-01-23,7.33,6.46,6.5,11.3,113.1,25.3,23.8,9,0.608,47.05
Umargaon,2023-01-23,6.49,1.0,8.81,20.31,52.4,25.0,26.0,7,0.277,13.63
Ranjangaon,2023-01-23,6.41,6.41,6.28,23.02,145.0,83.4,21.6,11,0.632,57.82
Bhavanipur,2023-01-23,8.02,1.0,9.68,14.61,44.6,10.9,25.0,6,0.24,14.42
Laxmipur,2023-01-23,7.33,5.66,7.99,10.04,83.6,8.4,22.1,5,0.368,38.87
Jawahar Nagar,2023-01-23,6.83,2.13,9.56,8.3,29.2,5.7,25.1,4,0.179,7.68
Ranjangaon,2023-01-23,7.49,3.46,9.0,12.75,72.8,3.5,20.4,6,0.345,28.02
Tulsipur,2023-01-24,7.98,10.0,5.17,14.8,118.8,1.9,24.0,9,0.532,65.59
Sundarpur,2023-01-24,6.62,1.0,10.0,9.95,38.2,19.3,20.4,3,0.206,8.89
Deulgaon,2023-01-24,6.4,3.11,7.56,7.69,42.2,9.9,22.4,3,0.174,15.3
Laxmipur,2023-01-24,7.68,7.04,6.97,5.15,77.4,0.6,22.1,5,0.319,44.3
Pimpalgaon,2023-01-24,6.94,1.0,9.0,7.94,45.7,2.0,22.8,5,0.277,8.78
Deulgaon,2023-01-24,6.3,1.0,8.49,38.26,88.0,3.1,22.2,7,0.427,28.83
Shivgarh,2023-01-25,7.14,1.44,9.74,15.99,116.6,21.5,22.3,7,0.513,23.98
Sitapur,2023-01-25,6.33,3.11,7.97,6.48,29.3,4.2,22.0,2,0.306,15.84
Rampur,2023-01-25,5.7,1.0,10.0,16.34,51.6,35.8,22.2,4,0.22,17.23
Rampur,2023-01-26,6.95,3.84,8.05,7.12,45.7,3.1,22.6,4,0.2,15.87
Chandpur,2023-01-26,8.24,2.14,8.4,10.33,49.6,35.4,23.1,5,0.252,19.94
Ambegaon,2023-01-26,6.98,3.9,8.08,8.9,70.3,16.4,23.5,5,0.361,25.68
Nandgaon,2023-01-26,6.91,2.17,8.02,6.64,50.3,5.0,22.1,7,0.259,14.44
Wagholi,2023-01-26,7.2,1.0,9.19,18.55,73.6,58.5,21.2,10,0.414,17.12
Sundarpur,2023-01-26,6.82,1.03,9.11,10.89,84.0,23.6,24.7,7,0.495,21.14
Nandgaon,2023-01-26,7.27,2.06,9.43,16.65,89.4,23.6,24.7,7,0.414,23.64
Dhamangaon,2023-01-27,7.54,2.15,8.07,7.87,37.9,2.1,23.7,3,0.207,15.48
Morwada,2023-01-27,6.05,1.0,9.24,13.97,29.7,10.8,21.7,5,0.233,11.24
Bhavanipur,2023-01-27,6.93,1.0,8.34,8.69,31.4,20.5,23.3,5,0.254,8.12
Jawahar Nagar,2023-01-27,8.06,3.23,7.82,6.87,39.1,2.7,24.2,5,0.328,21.23
Sonegaon,2023-01-27,6.7,1.0,9.79,13.12,72.3,47.1,24.8,6,0.403,14.21
Khandala,2023-01-27,6.62,1.0,8.61,14.15,37.3,21.9,20.6,5,0.206,9.17
Shivgarh,2023-01-27,6.91,1.0,9.34,7.07,22.5,4.8,22.2,6,0.19,4.35
Chandpur,2023-01-27,6.12,1.0,10.0,7.36,29.0,8.5,24.0,4,0.27,7.89
Wagholi,2023-01-27,6.59,6.1,5.78,13.48,110.3,53.3,20.2,12,0.595,44.5
Karanjgaon,2023-01-28,8.36,6.78,7.04,11.14,109.3,40.2,23.0,8,0.569,49.5
Chikhali,2023-01-28,6.75,1.38,10.0,22.41,67.0,9.4,24.7,5,0.338,15.16
Pimpalgaon,2023-01-28,5.5,10.0,6.06,14.48,139.5,0.7,23.5,10,0.595,72.43
Karanjgaon,2023-01-28,7.12,4.2,7.66,8.79,53.0,20.7,27.1,4,0.242,18.27
Tarwada,2023-01-28,8.1,1.0,9.52,12.22,55.6,7.1,21.9,5,0.318,11.13
Bhavanipur,2023-01-29,6.69,2.34,9.35,9.73,63.9,26.1,23.1,8,0.378,17.22
Khandala,2023-01-29,6.19,1.18,10.0,12.02,39.5,38.2,23.1,7,0.3,15.44
Tulsipur,2023-01-29,6.86,4.81,9.16,41.38,163.8,1.1,21.0,12,0.696,57.0
Gopalnagar,2023-01-29,6.78,1.37,7.98,8.36,41.6,3.4,24.0,3,0.279,6.54
Belpur,2023-01-30,6.91,9.71,5.61,12.04,118.7,3.0,23.6,8,0.543,57.39
Vadgaon,2023-01-30,7.3,1.0,7.29,8.35,56.5,5.3,22.0,3,0.317,8.25
Bhavanipur,2023-01-30,6.75,1.0,8.79,15.92,45.4,29.5,24.6,3,0.207,15.24
Malegaon,2023-01-30,6.48,1.0,9.68,10.87,47.1,7.4,22.3,5,0.302,9.24
Rampur,2023-01-30,6.95,1.57,9.73,13.11,34.8,4.3,23.0,4,0.268,10.54
Ambegaon,2023-01-30,6.98,3.27,8.93,18.48,70.6,25.5,22.3,8,0.42,29.17
Tulsipur,2023-01-31,7.56,1.0,9.52,9.64,33.9,5.2,24.2,6,0.216,11.21
Balkishan,2023-01-31,6.53,2.95,8.49,38.3,161.7,68.6,21.9,14,0.699,51.6
Sitapur,2023-01-31,6.57,2.25,9.19,8.02,38.4,7.7,22.8,3,0.238,13.26
Krishnapur,2023-01-31,7.31,3.78,6.58,11.97,67.4,38.6,20.0,10,0.45,32.76
Chikhali,2023-01-31,7.22,2.62,10.0,8.44,35.1,10.1,21.2,4,0.214,16.44
Rampur,2023-02-01,7.52,2.78,9.07,6.82,198.5,2.2,26.6,13,0.86,46.09
Pimpalgaon,2023-02-01,7.06,1.0,10.0,9.6,34.6,2.5,26.4,3,0.155,6.77
Madhavpur,2023-02-01,6.04,1.0,10.0,7.22,23.5,11.5,23.2,6,0.271,5.86
Tarwada,2023-02-01,6.18,6.9,6.7,5.87,119.2,1.9,22.9,10,0.526,45.46
Krishnapur,2023-02-01,7.35,8.03,4.92,9.69,92.6,10.4,24.6,7,0.4,44.49
Khandala,2023-02-01,7.93,3.12,7.88,49.07,154.3,28.9,26.4,13,0.774,51.02
Laxmipur,2023-02-02,8.37,1.0,8.59,7.06,22.5,5.0,24.8,4,0.142,11.08
Sitapur,2023-02-02,6.1,1.0,10.0,6.81,34.6,0.0,24.6,3,0.24,6.95
Belpur,2023-02-02,7.0,4.73,8.3,7.56,81.8,5.9,24.9,8,0.451,33.36
Sundarpur,2023-02-02,6.46,1.05,9.61,14.07,42.7,3.9,24.9,6,0.274,14.33
Nandgaon,2023-02-02,6.6,7.25,6.2,36.94,191.9,40.2,22.2,16,0.905,75.6
Bhavanipur,2023-02-02,5.97,1.0,10.0,26.96,79.0,40.9,24.4,7,0.39,23.33
Sundarpur,2023-02-02,7.55,1.0,8.91,14.45,51.3,42.7,22.9,7,0.285,17.85
Rampur,2023-02-03,6.88,1.23,8.77,31.91,94.6,6.1,25.1,11,0.488,30.55
Umargaon,2023-02-03,6.62,1.0,8.85,42.84,106.2,10.3,22.7,9,0.569,33.85
Radhapur,2023-02-03,6.33,7.97,5.35,6.05,94.8,4.9,27.0,7,0.433,46.71
Malegaon,2023-02-03,7.84,1.0,10.0,10.29,30.3,10.8,25.6,2,0.144,7.72
Bhimnagar,2023-02-04,6.71,3.91,7.33,10.38,47.6,5.7,24.1,4,0.255,19.34
Harinagar,2023-02-04,6.47,1.0,9.69,28.47,87.1,52.3,25.7,11,0.454,26.35
Wagholi,2023-02-04,7.75,3.61,6.9,9.66,59.9,13.6,25.4,9,0.389,24.56
Rampur,2023-02-04,5.61,2.04,8.97,13.21,40.4,6.3,22.9,5,0.286,18.38
Nandgaon,2023-02-04,7.22,2.78,9.54,7.18,36.0,12.5,25.8,3,0.171,13.45
Bhavanipur,2023-02-04,6.56,1.0,9.03,8.55,23.5,14.4,24.6,2,0.125,4.67
Laxmipur,2023-02-04,8.02,1.93,8.88,15.32,83.0,39.9,24.5,6,0.34,23.59
Karanjgaon,2023-02-05,5.5,1.66,9.18,7.78,23.7,14.8,27.0,3,0.184,9.51
Bhavanipur,2023-02-05,6.69,1.33,9.72,38.26,96.7,7.8,27.6,7,0.403,31.08
Wagholi,2023-02-05,6.99,1.17,9.37,5.67,11.2,3.9,24.5,1,0.069,3.57
Bhavanipur,2023-02-05,6.35,1.03,7.11,12.89,51.9,20.5,28.1,5,0.274,13.1
Gopalnagar,2023-02-05,7.35,2.0,9.61,16.17,83.0,34.5,22.4,7,0.404,25.33
Dhamangaon,2023-02-05,7.74,1.0,10.0,8.54,23.0,20.3,25.1,4,0.2,1.97
Laxmipur,2023-02-05,6.57,2.16,9.53,9.94,34.0,4.0,25.1,3,0.224,11.35
Karanjgaon,2023-02-05,7.03,3.6,5.54,20.05,68.1,1.4,26.4,7,0.367,28.12
Devgaon,2023-02-05,7.2,1.0,9.29,10.72,33.2,1.4,25.7,7,0.235,7.05
Madhavpur,2023-02-05,6.99,2.22,9.51,9.6,64.3,11.8,25.5,6,0.29,22.01
Gopalnagar,2023-02-05,7.39,4.18,8.05,5.77,38.0,3.7,24.7,3,0.176,19.47
Wagholi,2023-02-05,7.11,1.92,8.8,9.07,26.0,2.7,25.2,1,0.139,10.32
Wagholi,2023-02-06,6.5,3.7,7.83,6.6,36.4,6.5,22.8,2,0.202,17.86
Malegaon,2023-02-06,5.53,1.0,8.94,42.37,113.1,39.2,22.0,11,0.585,35.47
Vadgaon,2023-02-06,6.57,5.83,6.32,11.69,82.9,18.5,26.6,7,0.435,39.03
Nandgaon,2023-02-06,7.35,6.0,6.81,41.17,158.9,14.1,28.0,14,0.721,63.72
Radhapur,2023-02-06,7.0,2.01,8.85,8.74,115.4,10.3,24.5,7,0.519,25.77
Krishnapur,2023-02-06,6.23,1.0,10.0,14.38,60.5,48.6,27.5,7,0.318,13.86
Wagholi,2023-02-07,7.25,1.22,9.35,8.0,15.4,0.3,25.4,4,0.146,11.51
Tulsipur,2023-02-07,6.67,1.43,9.83,8.75,35.1,3.6,23.6,5,0.24,11.88
Balkishan,2023-02-07,6.86,1.0,9.66,5.85,31.2,3.8,23.4,5,0.192,11.44
Radhapur,2023-02-07,6.53,2.44,8.23,16.05,51.7,8.2,26.3,4,0.338,19.98
Madhavpur,2023-02-07,6.91,1.58,10.0,14.8,39.6,4.0,22.9,3,0.197,8.39
Khandala,2023-02-07,5.8,1.39,8.81,8.37,65.5,10.4,28.9,4,0.299,10.86
Radhapur,2023-02-07,7.42,1.0,9.68,16.67,41.3,23.1,26.0,4,0.241,14.26
Bhavanipur,2023-02-08,6.17,3.53,8.56,12.69,66.6,7.4,25.1,5,0.307,25.21
Chandpur,2023-02-08,6.77,2.44,9.06,12.22,52.7,19.4,23.0,4,0.244,14.9
Sitapur,2023-02-08,7.69,2.81,5.89,15.55,90.8,38.6,27.3,6,0.497,31.66
Ambegaon,2023-02-08,7.22,1.0,8.21,10.99,33.6,22.4,27.0,6,0.281,7.02
Dhamangaon,2023-02-08,6.93,1.0,10.0,14.23,50.2,16.4,25.6,4,0.213,11.84
Rampur,2023-02-08,6.1,2.98,8.5,10.66,37.0,0.7,27.4,6,0.234,15.67
Sitapur,2023-02-08,5.98,1.2,8.31,13.63,41.0,22.2,23.0,4,0.246,10.15
Karanjgaon,2023-02-08,7.37,2.39,9.32,46.79,141.2,38.8,25.1,12,0.63,49.69
Deulgaon,2023-02-09,6.75,1.0,9.42,8.05,34.7,16.4,24.7,3,0.231,9.36
Pimpalgaon,2023-02-09,5.85,2.99,8.07,10.76,53.5,36.1,28.0,5,0.26,21.38
Devgaon,2023-02-09,6.87,2.26,9.91,11.72,101.7,4.6,26.3,7,0.436,24.38
Bhimnagar,2023-02-09,6.9,3.09,9.24,16.16,94.3,60.8,23.7,9,0.444,33.22
Karanjgaon,2023-02-09,7.57,1.64,9.07,13.84,46.6,29.6,26.2,6,0.28,14.03
Gopalnagar,2023-02-09,5.88,6.55,7.33,36.94,151.9,10.1,24.0,12,0.667,62.95
Tarwada,2023-02-10,6.4,3.45,7.48,9.5,45.4,14.3,24.6,6,0.368,20.38
Deulgaon,2023-02-10,6.92,1.02,9.21,10.77,52.3,10.9,23.2,4,0.37,11.54
Ranjangaon,2023-02-10,6.63,1.35,7.46,12.06,67.0,41.4,21.5,5,0.408,15.33
Ambegaon,2023-02-10,7.29,1.0,9.3,6.81,48.8,5.8,24.7,6,0.292,11.15
Gopalnagar,2023-02-10,7.4,1.0,9.36,17.06,48.4,8.6,22.9,7,0.389,11.87
Sundarpur,2023-02-10,7.3,1.0,9.6,11.64,37.2,14.3,26.9,5,0.273,10.17
Khandala,2023-02-10,7.33,1.26,10.0,7.08,16.8,11.2,23.7,4,0.151,3.55
Krishnapur,2023-02-10,7.21,10.0,5.82,17.98,139.9,22.9,24.1,12,0.662,67.82
Bhimnagar,2023-02-11,7.2,8.66,6.07,15.8,172.6,14.4,25.6,12,0.745,68.95
Belpur,2023-02-11,8.21,3.6,9.14,14.44,55.2,1.2,26.7,3,0.266,24.18
Ambegaon,2023-02-11,7.25,2.18,7.09,10.91,34.9,11.6,24.8,6,0.204,9.72
Nandgaon,2023-02-11,7.12,1.93,8.55,10.79,45.5,5.9,24.3,3,0.314,15.83
Pimpalgaon,2023-02-11,6.86,3.26,7.68,12.31,48.1,3.7,24.6,5,0.247,19.35
Deulgaon,2023-02-11,6.51,1.74,8.63,11.01,87.4,3.6,25.5,6,0.374,20.42
Sundarpur,2023-02-11,6.18,1.95,7.25,45.03,141.6,39.2,27.7,15,0.732,51.05
Malegaon,2023-02-11,5.85,1.0,8.19,6.88,25.0,9.9,26.9,2,0.275,8.06
Umargaon,2023-02-11,6.58,10.0,5.12,9.2,119.7,7.0,22.6,10,0.542,65.14
Sitapur,2023-02-11,7.21,1.34,10.0,7.5,20.0,15.2,24.0,2,0.107,6.27
Tulsipur,2023-02-11,6.66,1.0,9.22,13.31,47.8,5.1,22.1,3,0.354,12.44
Radhapur,2023-02-12,7.53,1.81,8.2,10.2,64.8,20.4,23.0,4,0.283,14.56
Bhimnagar,2023-02-12,6.85,8.77,5.02,23.85,168.7,13.4,25.5,13,0.768,73.64
Balkishan,2023-02-12,6.82,1.0,9.23,28.98,69.8,0.3,26.0,8,0.467,21.3
Khandala,2023-02-13,6.79,1.96,9.46,9.07,27.6,9.3,25.9,4,0.265,13.89
Bhimnagar,2023-02-13,7.14,1.8,8.52,6.96,32.4,3.5,26.3,4,0.193,6.05
Sonegaon,2023-02-13,7.15,4.24,7.79,37.97,145.0,26.9,26.6,12,0.658,55.03
Nandgaon,2023-02-13,7.35,1.0,10.0,8.85,19.8,1.9,27.8,2,0.115,5.31
Ambegaon,2023-02-13,8.44,1.33,9.21,7.5,49.2,13.0,25.9,5,0.291,16.34
Umargaon,2023-02-13,6.03,2.27,9.95,10.75,46.9,28.3,20.5,7,0.286,19.5
Pimpalgaon,2023-02-13,6.7,3.03,9.36,13.09,58.3,26.9,25.8,4,0.299,23.41
Gopalnagar,2023-02-13,7.23,1.67,9.64,11.29,74.6,33.1,26.8,6,0.322,23.27
Krishnapur,2023-02-13,7.01,1.0,9.89,12.3,68.4,28.4,25.6,9,0.353,17.75
Pimpalgaon,2023-02-14,5.89,6.25,6.44,12.8,94.4,4.4,22.7,7,0.518,43.09
Sonegaon,2023-02-14,5.95,1.53,9.53,9.38,33.1,22.4,23.5,3,0.277,11.49
Nandgaon,2023-02-15,6.26,3.44,7.12,10.69,56.9,2.8,23.8,5,0.287,22.12
Devgaon,2023-02-15,7.25,1.7,10.0,11.47,40.0,5.1,25.3,3,0.234,13.68
Dhamangaon,2023-02-16,6.62,2.76,8.3,5.48,31.7,0.1,24.1,6,0.31,11.91
Tulsipur,2023-02-16,6.49,2.25,10.0,36.12,106.0,29.1,27.1,12,0.518,39.48
Ambegaon,2023-02-16,6.37,1.0,9.02,16.41,41.7,3.7,24.8,5,0.302,13.55
Belpur,2023-02-16,7.97,1.0,9.89,8.87,16.8,5.8,25.0,3,0.212,5.91
Bhimnagar,2023-02-16,5.91,1.03,9.84,14.99,67.2,1.1,24.7,4,0.312,12.03
