experience,projects,internship,tech_score,salary
0,4,1,5,8.74
1,5,0,5,10.34
2,7,0,9,16.09
0,3,0,10,11.76
3,7,1,6,16.33
3,6,0,5,13.14
1,4,0,7,10.83
0,7,0,6,10.64
0,3,0,6,8.65
4,7,1,3,15.16
0,4,0,9,10.8
5,2,0,6,14.99
1,6,0,10,14.29
0,1,1,9,10.91
4,1,1,3,12.09
2,2,0,8,12.55
3,1,1,10,15.87
0,5,0,10,13.0
4,3,1,7,16.36
4,3,0,6,14.43
4,2,1,5,14.03
5,4,0,8,18.35
2,3,0,5,10.57
4,5,0,5,14.23
0,8,0,6,10.6
3,5,1,5,13.93
3,1,0,3,9.6
5,3,0,6,15.4
3,3,0,5,12.17
4,1,1,4,13.27
0,4,0,7,9.73
1,1,0,10,12.03
0,8,0,5,9.73
1,1,0,9,11.12
4,5,1,3,14.12
1,2,1,8,12.56
1,7,0,4,10.05
2,3,0,10,14.78
5,5,1,6,17.64
1,3,0,10,12.81
0,1,0,8,8.63
0,6,0,6,10.07
1,7,0,5,10.68
2,6,1,10,16.98
4,7,1,5,16.52
3,2,1,6,13.28
4,7,0,10,19.24
1,4,1,8,13.19
3,7,0,4,13.52
4,8,1,3,15.41
1,3,1,6,10.56
3,1,0,5,10.56
1,2,1,10,13.88
1,7,0,7,12.44
5,6,1,6,18.93
0,2,1,9,11.7
2,5,1,8,15.52
0,6,1,8,12.69
0,8,0,10,14.42
3,7,1,10,19.38
3,6,0,10,17.74
0,6,0,3,7.9
4,1,1,8,16.07
3,1,1,7,13.37
1,7,1,7,13.49
2,6,1,6,14.12
1,5,0,5,9.65
0,1,1,9,10.58
3,4,0,6,13.09
2,8,1,7,16.07
1,4,0,9,12.94
2,3,0,9,13.47
3,5,0,7,14.99
3,7,1,4,14.82
3,6,1,10,18.9
5,6,1,7,19.49
3,5,1,7,15.69
2,8,0,7,14.81
1,8,1,8,15.18
5,2,0,8,16.62
4,7,1,7,18.71
1,6,1,9,15.08
0,1,0,7,8.17
3,2,1,4,11.8
4,4,0,5,14.17
4,6,0,8,17.34
4,5,0,7,15.63
5,6,0,5,16.32
2,1,0,7,10.67
0,2,1,5,8.62
0,8,1,3,9.75
5,7,0,4,16.37
0,2,1,6,9.29
4,5,0,5,14.03
5,6,0,5,16.19
1,5,1,7,12.93
5,7,1,4,16.97
4,5,1,4,15.03
0,2,1,9,11.38
2,3,1,10,15.54
0,1,0,7,8.0
3,3,0,4,11.44
2,3,0,4,9.44
3,1,0,6,11.33
5,5,1,8,19.19
1,6,1,5,12.15
2,2,1,9,14.59
1,2,1,9,12.7
3,1,0,7,12.74
0,6,0,5,8.55
0,6,0,6,9.53
4,3,1,5,14.95
5,6,0,8,19.3
1,6,1,3,10.55
2,6,1,3,11.8
4,1,1,9,16.45
5,8,0,9,20.3
0,8,1,8,13.53
5,2,0,9,17.75
0,4,1,10,13.22
3,6,1,9,17.82
5,8,0,9,20.93
1,7,1,10,15.83
1,2,0,3,7.36
0,4,1,4,8.3
2,1,0,6,9.95
5,1,1,6,16.35
4,3,1,6,15.78
2,2,0,8,12.69
1,3,1,4,9.57
2,1,1,4,9.81
3,5,0,7,14.42
1,1,0,5,7.62
3,7,1,8,17.59
3,1,0,5,11.02
5,6,0,7,17.6
5,6,1,9,20.77
1,4,0,6,10.01
4,4,1,8,17.5
0,6,0,10,12.6
2,4,0,10,14.78
5,1,0,3,12.25
3,5,1,6,14.74
4,7,1,4,16.3
2,3,1,3,10.06
2,1,1,6,11.81
1,4,0,10,13.38
2,2,0,9,12.96
0,8,0,9,13.04
0,1,1,6,8.27
0,7,1,10,14.99
